Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Justin Herbert,LAC,ARI,20.98,18.23,35,0.599,starter,QB slot 9,1,2026-09-13 20:25,market good 90% audit: Bovada
QB,2,Lamar Jackson,BAL,IND,20.95,17.07,36,0.582,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,3,Joe Burrow,CIN,TB,20.81,17.43,38,0.548,starter,QB slot 9,1,2026-09-13 17:00,market fair 75%: Bovada
QB,4,Jalen Hurts,PHI,WAS,20.59,18.66,36,0.572,starter,QB slot 9,1,2026-09-13 20:25,market good 90% audit: Bovada
QB,5,Josh Allen,BUF,HOU,20.56,23.82,39,0.527,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,6,Patrick Mahomes,KC,DEN,20.09,21.16,33,0.609,starter,QB slot 9,1,2026-09-15 00:15,70% FPPG + 30% salary prior
QB,7,Trevor Lawrence,JAC,CLE,19.6,20.64,37,0.53,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,8,Jaxson Dart,NYG,DAL,19.53,17.61,35,0.558,starter,QB slot 9,1,2026-09-14 00:20,market good 90% audit: Bovada
QB,9,Caleb Williams,CHI,CAR,19.0,19.36,37,0.514,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,10,Dak Prescott,DAL,NYG,19.0,19.05,36,0.528,starter,QB slot 9,1,2026-09-14 00:20,market good 90% audit: Bovada
QB,11,Jared Goff,DET,NO,19.0,17.94,35,0.543,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,12,Brock Purdy,SF,LA,18.57,19.32,27,0.688,starter,QB slot 9,1,2026-09-11 00:35,market good 90% audit: Bovada
QB,13,Baker Mayfield,TB,CIN,18.55,16.64,33,0.562,starter,QB slot 9,1,2026-09-13 17:00,market fair 75%: Bovada
QB,14,Kyler Murray,MIN,GB,18.54,16.16,30,0.618,starter,QB slot 9,1,2026-09-13 20:25,market good 90% audit: Bovada
QB,15,Drake Maye,NE,SEA,18.38,20.4,34,0.541,starter,QB slot 9,1,2026-09-10 00:20,market good 90% audit: Bovada
QB,16,Bo Nix,DEN,KC,18.31,18.94,32,0.572,starter,QB slot 9,1,2026-09-15 00:15,70% FPPG + 30% salary prior
QB,17,Matthew Stafford,LA,SF,18.12,21.02,35,0.518,starter,QB slot 9,1,2026-09-11 00:35,market good 90% audit: Bovada
QB,18,Tyler Shough,NO,DET,18.1,14.91,30,0.603,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,19,Jayden Daniels,WAS,PHI,17.91,16.75,32,0.56,starter,QB slot 9,1,2026-09-13 20:25,market good 90% audit: Bovada
QB,20,Jordan Love,GB,MIN,17.5,16.95,34,0.515,starter,QB slot 9,1,2026-09-13 20:25,market good 90% audit: Bovada
QB,21,Daniel Jones,IND,BAL,16.8,18.03,30,0.56,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,22,Bryce Young,CAR,CHI,16.44,14.76,27,0.609,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,23,Sam Darnold,SEA,NE,16.41,14.88,29,0.566,starter,QB slot 9,1,2026-09-10 00:20,market good 90% audit: Bovada
QB,24,C.J. Stroud,HOU,BUF,15.69,14.69,29,0.541,starter,QB slot 9,1,2026-09-13 17:00,market good 90% audit: Bovada
QB,25,Malik Willis,MIA,LV,15.41,12.79,24,0.642,starter,QB slot 9,1,2026-09-13 20:25,market good 80% audit: Bovada
RB,1,Jahmyr Gibbs,DET,NO,22.02,19.32,40,0.551,starter,RB slot 11,1,2026-09-13 17:00,market good 90% audit: Bovada
RB,2,Bijan Robinson,ATL,PIT,19.79,19.49,40,0.495,starter,RB slot 11,1,2026-09-13 17:00,market good 90% audit: Bovada
RB,3,Christian McCaffrey,SF,LA,18.85,21.15,39,0.483,starter,RB slot 11,1,2026-09-11 00:35,market good 90% audit: Bovada
RB,4,Jonathan Taylor,IND,BAL,17.68,19.96,37,0.478,starter,RB slot 11,1,2026-09-13 17:00,market good 90% audit: Bovada
RB,5,De'Von Achane,MIA,LV,16.77,18.08,36,0.466,starter,RB slot 11,1,2026-09-13 20:25,market good 90% audit: Bovada
RB,6,Saquon Barkley,PHI,WAS,16.16,13.44,34,0.475,starter,RB slot 11,1,2026-09-13 20:25,market good 90% audit: Bovada
RB,7,Derrick Henry,BAL,IND,15.96,16.0,38,0.42,starter,RB slot 11,1,2026-09-13 17:00,market good 90% audit: Bovada
