Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Depth,Kickoff UTC,Projection method
RB,23,Rhamondre Stevenson,NE,SEA,11.48,11.62,26,0.442,1,2026-09-10 00:20,market good: Bovada+Underdog
RB,24,MarShawn Lloyd,GB,MIN,11.33,0.0,10,1.133,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,25,Quinshon Judkins,CLE,JAC,11.3,11.2,24,0.471,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,1,Malik Nabers,NYG,DAL,18.13,12.02,26,0.697,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,2,Ja'Marr Chase,CIN,TB,16.84,15.69,39,0.432,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,3,Puka Nacua,LA,SF,16.47,19.79,38,0.433,1,2026-09-11 00:35,market good: Bovada+Underdog
WR,4,Amon-Ra St. Brown,DET,NO,15.62,15.62,38,0.411,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,5,Jaxon Smith-Njigba,SEA,NE,15.49,17.04,35,0.443,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,6,CeeDee Lamb,DAL,NYG,14.43,11.67,29,0.498,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,7,Chris Olave,NO,DET,14.21,13.69,34,0.418,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,8,Justin Jefferson,MIN,GB,13.71,9.38,28,0.49,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,9,Nico Collins,HOU,BUF,12.71,12.14,27,0.471,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,10,George Pickens,DAL,NYG,12.62,14.44,27,0.467,2,2026-09-14 00:20,market good: Bovada+Underdog
WR,11,Tee Higgins,CIN,TB,12.53,12.14,33,0.38,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,12,Zay Flowers,BAL,IND,12.26,11.78,33,0.372,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,13,Stefon Diggs,WAS,PHI,12.23,9.13,18,0.679,2,2026-09-13 20:25,market good: Bovada+Underdog
WR,14,DeVonta Smith,PHI,WAS,12.21,9.68,27,0.452,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,15,Rashee Rice,KC,DEN,12.11,15.45,29,0.418,1,2026-09-15 00:15,market good: Underdog
WR,16,A.J. Brown,NE,SEA,11.82,11.58,26,0.455,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,17,Drake London,ATL,PIT,11.79,13.99,32,0.368,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,18,Garrett Wilson,NYJ,TEN,11.5,11.64,25,0.46,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,19,Tetairoa McMillan,CAR,CHI,11.37,10.39,25,0.455,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,20,Jameson Williams,DET,NO,11.36,11.02,27,0.421,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,21,Ladd McConkey,LAC,ARI,11.26,8.98,24,0.469,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,22,Luther Burden III,CHI,CAR,11.1,6.68,22,0.505,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,23,Emeka Egbuka,TB,CIN,10.89,9.66,20,0.544,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,24,Jaylen Waddle,DEN,KC,10.68,10.13,21,0.509,1,2026-09-15 00:15,market good: Underdog
WR,25,Davante Adams,LA,SF,10.51,13.11,27,0.389,2,2026-09-11 00:35,market good: Bovada+Underdog
TE,1,Brock Bowers,LV,MIA,12.09,12.02,26,0.465,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,2,Trey McBride,ARI,LAC,11.68,14.88,28,0.417,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,3,Dalton Schultz,HOU,BUF,10.83,7.64,14,0.774,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,4,Colston Loveland,CHI,CAR,10.34,9.08,22,0.47,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,5,Sam LaPorta,DET,NO,9.37,9.66,21,0.446,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,6,Tucker Kraft,GB,MIN,9.01,12.65,23,0.392,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,7,Juwan Johnson,NO,DET,8.95,8.32,17,0.526,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,8,Kyle Pitts Sr.,ATL,PIT,8.94,9.81,21,0.426,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,9,Travis Kelce,KC,DEN,8.63,9.13,15,0.575,1,2026-09-15 00:15,market good: Underdog
TE,10,Harold Fannin Jr.,CLE,JAC,8.25,9.4,20,0.412,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,11,Mark Andrews,BAL,IND,8.17,6.29,14,0.584,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,12,George Kittle,SF,LA,8.04,11.18,21,0.383,1,2026-09-11 00:35,market good: Bovada+Underdog
TE,13,Dalton Kincaid,BUF,HOU,7.9,9.59,16,0.494,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,14,Brenton Strange,JAC,CLE,7.59,7.45,15,0.506,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,15,Dallas Goedert,PHI,WAS,7.53,10.78,19,0.396,1,2026-09-13 20:25,market good: Bovada+Underdog
