Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Josh Allen,BUF,LAC,22.42,38.24,42,0.534,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,2,Patrick Mahomes,KC,MIA,21.61,25.82,39,0.554,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,3,Brock Purdy,SF,ARI,21.28,25.29,38,0.56,starter,QB slot 9,1,2026-09-27 20:05,Yahoo salary-position-depth regression (trained through 2025)
QB,4,Jalen Hurts,PHI,CHI,21.28,21.44,38,0.56,starter,QB slot 9,1,2026-09-29 00:15,Yahoo salary-position-depth regression (trained through 2025)
QB,5,Bryce Young,CAR,CLE,20.91,28.26,37,0.565,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,6,Lamar Jackson,BAL,DAL,20.91,20.38,37,0.565,starter,QB slot 9,1,2026-09-27 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,7,Joe Burrow,CIN,PIT,20.51,15.67,36,0.57,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,8,Tyler Shough,NO,LV,20.08,23.79,35,0.574,starter,QB slot 9,1,2026-09-27 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,9,Caleb Williams,CHI,PHI,20.08,22.99,35,0.574,starter,QB slot 9,1,2026-09-29 00:15,Yahoo salary-position-depth regression (trained through 2025)
QB,10,Dak Prescott,DAL,BAL,20.08,22.58,35,0.574,starter,QB slot 9,1,2026-09-27 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,11,Jared Goff,DET,NYJ,19.62,23.11,34,0.577,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,12,Trevor Lawrence,JAC,NE,19.62,16.63,34,0.577,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,13,Jordan Love,GB,ATL,19.12,17.14,33,0.58,starter,QB slot 9,1,2026-09-25 00:15,Yahoo salary-position-depth regression (trained through 2025)
QB,14,Bo Nix,DEN,LA,19.12,10.78,33,0.58,starter,QB slot 9,1,2026-09-28 00:20,Yahoo salary-position-depth regression (trained through 2025)
QB,15,C.J. Stroud,HOU,IND,18.59,16.74,32,0.581,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,16,Matthew Stafford,LA,DEN,17.43,16.54,30,0.581,starter,QB slot 9,1,2026-09-28 00:20,Yahoo salary-position-depth regression (trained through 2025)
QB,17,Drake Maye,NE,JAC,16.79,10.92,29,0.579,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,18,Jayden Daniels,WAS,SEA,16.12,16.2,28,0.576,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,19,Justin Herbert,LAC,BUF,16.12,12.07,28,0.576,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,20,Baker Mayfield,TB,MIN,15.41,12.41,27,0.571,starter,QB slot 9,1,2026-09-27 20:05,Yahoo salary-position-depth regression (trained through 2025)
QB,21,Jacoby Brissett,ARI,SF,14.66,11.99,26,0.564,starter,QB slot 9,1,2026-09-27 20:05,Yahoo salary-position-depth regression (trained through 2025)
QB,22,Daniel Jones,IND,HOU,14.66,11.22,26,0.564,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,23,Kirk Cousins,LV,NO,13.88,18.51,25,0.555,starter,QB slot 9,1,2026-09-27 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,24,Malik Willis,MIA,KC,13.88,15.09,25,0.555,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,25,Deshaun Watson,CLE,CAR,13.05,17.36,24,0.544,starter,QB slot 9,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,1,Jahmyr Gibbs,DET,NYJ,19.16,25.7,40,0.479,starter,RB slot 11,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,2,Jonathan Taylor,IND,HOU,19.16,25.4,40,0.479,starter,RB slot 11,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,3,Derrick Henry,BAL,DAL,18.44,25.5,39,0.473,starter,RB slot 11,1,2026-09-27 20:25,Yahoo salary-position-depth regression (trained through 2025)
RB,4,Kenneth Walker III,KC,MIA,17.78,26.7,38,0.468,starter,RB slot 11,1,2026-09-27 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,5,Christian McCaffrey,SF,ARI,17.18,15.95,37,0.464,starter,RB slot 11,1,2026-09-27 20:05,Yahoo salary-position-depth regression (trained through 2025)
RB,6,Bijan Robinson,ATL,GB,16.12,18.45,35,0.461,starter,RB slot 11,1,2026-09-25 00:15,Yahoo salary-position-depth regression (trained through 2025)
