Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Depth,Kickoff UTC,Projection method
QB,1,Justin Herbert,LAC,ARI,21.0,18.23,35,0.6,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,2,Lamar Jackson,BAL,IND,20.79,17.07,36,0.578,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,3,Joe Burrow,CIN,TB,20.55,17.43,38,0.541,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,4,Jalen Hurts,PHI,WAS,20.27,18.66,36,0.563,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,5,Josh Allen,BUF,HOU,19.87,23.82,39,0.509,1,2026-09-13 17:00,market fair: Bovada+Underdog
QB,6,Jaxson Dart,NYG,DAL,18.85,17.61,35,0.539,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,7,Trevor Lawrence,JAC,CLE,18.65,20.64,37,0.504,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,8,Jared Goff,DET,NO,18.57,17.94,35,0.531,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,9,Caleb Williams,CHI,CAR,18.43,19.36,37,0.498,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,10,Dak Prescott,DAL,NYG,18.3,19.05,36,0.508,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,11,Kyler Murray,MIN,GB,18.28,16.16,30,0.609,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,12,Brock Purdy,SF,LA,18.22,19.32,27,0.675,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,13,Jayden Daniels,WAS,PHI,17.97,16.75,32,0.562,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,14,Baker Mayfield,TB,CIN,17.9,16.64,33,0.542,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,15,Tyler Shough,NO,DET,17.5,14.91,30,0.583,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,16,Matthew Stafford,LA,SF,17.44,21.02,35,0.498,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,17,Drake Maye,NE,SEA,17.4,20.4,34,0.512,1,2026-09-10 00:20,market good: Bovada+Underdog
QB,18,Jordan Love,GB,MIN,16.92,16.95,34,0.498,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,19,Patrick Mahomes,KC,DEN,16.84,21.16,33,0.51,1,2026-09-15 00:15,market good: Underdog
QB,20,Bryce Young,CAR,CHI,16.69,14.76,27,0.618,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,21,Malik Willis,MIA,LV,16.35,12.79,24,0.681,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,22,Daniel Jones,IND,BAL,16.2,18.03,30,0.54,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,23,Sam Darnold,SEA,NE,15.86,14.88,29,0.547,1,2026-09-10 00:20,market good: Bovada+Underdog
QB,24,Bo Nix,DEN,KC,15.74,18.94,32,0.492,1,2026-09-15 00:15,market good: Underdog
QB,25,C.J. Stroud,HOU,BUF,15.44,14.69,29,0.532,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,1,Jahmyr Gibbs,DET,NO,21.54,19.32,40,0.538,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,2,Bijan Robinson,ATL,PIT,19.34,19.49,40,0.484,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,3,Christian McCaffrey,SF,LA,18.23,21.15,39,0.467,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,4,Chase Brown,CIN,TB,17.76,14.59,37,0.48,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,5,Jonathan Taylor,IND,BAL,17.02,19.96,37,0.46,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,6,De'Von Achane,MIA,LV,16.93,18.08,36,0.47,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,7,Saquon Barkley,PHI,WAS,16.12,13.44,34,0.474,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,8,Javonte Williams,DAL,NYG,15.35,14.08,29,0.529,1,2026-09-14 00:20,market good: Bovada+Underdog
RB,9,Derrick Henry,BAL,IND,15.28,16.0,38,0.402,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,10,Ashton Jeanty,LV,MIA,15.14,12.8,33,0.459,1,2026-09-13 20:25,market td-estimate: Bovada
RB,11,Omarion Hampton,LAC,ARI,14.82,11.96,29,0.511,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,12,James Cook III,BUF,HOU,14.38,16.05,31,0.464,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,13,D'Andre Swift,CHI,CAR,14.26,13.08,28,0.509,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,14,Breece Hall,NYJ,TEN,13.91,11.85,27,0.515,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,15,Kyren Williams,LA,SF,13.45,14.93,36,0.374,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,16,Kenneth Walker III,KC,DEN,13.42,12.33,35,0.383,1,2026-09-15 00:15,market good: Underdog
RB,17,Travis Etienne Jr.,NO,DET,13.23,14.22,30,0.441,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,18,Bucky Irving,TB,CIN,13.23,12.35,25,0.529,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,19,Rhamondre Stevenson,NE,SEA,12.36,11.62,26,0.475,1,2026-09-10 00:20,market good: Bovada+Underdog
RB,20,Jaylen Warren,PIT,ATL,11.52,11.9,27,0.427,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,21,David Montgomery,HOU,BUF,11.5,9.11,20,0.575,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,22,MarShawn Lloyd,GB,MIN,11.33,0.0,10,1.133,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,23,Chuba Hubbard,CAR,CHI,11.32,8.08,18,0.629,1,2026-09-13 17:00,market td-estimate: Bovada+Underdog
RB,24,Quinshon Judkins,CLE,JAC,11.3,11.2,24,0.471,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,25,Cam Skattebo,NYG,DAL,11.22,14.46,31,0.362,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,1,Ja'Marr Chase,CIN,TB,16.84,15.69,39,0.432,1,2026-09-13 17:00,market good: Bovada+Underdog
