Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Depth,Kickoff UTC,Projection method
WR,2,Puka Nacua,LA,SF,16.48,19.79,38,0.434,1,2026-09-11 00:35,market good: Bovada+Underdog
WR,3,Davante Adams,LA,SF,16.01,13.11,27,0.593,2,2026-09-11 00:35,market good: Bovada+Underdog
WR,4,Amon-Ra St. Brown,DET,NO,15.63,15.62,38,0.411,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,5,Jaxon Smith-Njigba,SEA,NE,15.59,17.04,35,0.445,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,6,CeeDee Lamb,DAL,NYG,14.65,11.67,29,0.505,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,7,Chris Olave,NO,DET,14.21,13.69,34,0.418,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,8,Justin Jefferson,MIN,GB,13.94,9.38,28,0.498,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,9,George Pickens,DAL,NYG,12.78,14.44,27,0.473,2,2026-09-14 00:20,market good: Bovada+Underdog
WR,10,Nico Collins,HOU,BUF,12.69,12.14,27,0.47,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,11,DeVonta Smith,PHI,WAS,12.51,9.68,27,0.463,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,12,Tee Higgins,CIN,TB,12.44,12.14,33,0.377,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,13,Zay Flowers,BAL,IND,12.26,11.78,33,0.372,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,14,Stefon Diggs,WAS,PHI,12.23,9.13,18,0.679,2,2026-09-13 20:25,market good: Bovada+Underdog
WR,15,Rashee Rice,KC,DEN,12.11,15.45,29,0.418,1,2026-09-15 00:15,market good: Underdog
WR,16,Drake London,ATL,PIT,12.1,13.99,32,0.378,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,17,Malik Nabers,NYG,DAL,11.94,12.02,26,0.459,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,18,A.J. Brown,NE,SEA,11.87,11.58,26,0.457,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,19,Garrett Wilson,NYJ,TEN,11.55,11.64,25,0.462,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,20,Jameson Williams,DET,NO,11.31,11.02,27,0.419,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,21,Tetairoa McMillan,CAR,CHI,11.31,10.39,25,0.452,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,22,Quentin Johnston,LAC,ARI,11.25,10.66,20,0.562,2,2026-09-13 20:25,market good: Bovada+Underdog
WR,23,Ladd McConkey,LAC,ARI,11.16,8.98,24,0.465,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,24,Luther Burden III,CHI,CAR,11.11,6.68,22,0.505,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,25,Emeka Egbuka,TB,CIN,10.84,9.66,20,0.542,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,1,Brock Bowers,LV,MIA,12.22,12.02,26,0.47,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,2,Trey McBride,ARI,LAC,11.64,14.88,28,0.416,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,3,Dalton Schultz,HOU,BUF,10.83,7.64,14,0.774,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,4,Colston Loveland,CHI,CAR,10.52,9.08,22,0.478,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,5,Tucker Kraft,GB,MIN,9.36,12.65,23,0.407,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,6,Sam LaPorta,DET,NO,9.36,9.66,21,0.446,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,7,Kyle Pitts Sr.,ATL,PIT,9.0,9.81,21,0.429,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,8,Juwan Johnson,NO,DET,8.97,8.32,17,0.528,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,9,Travis Kelce,KC,DEN,8.63,9.13,15,0.575,1,2026-09-15 00:15,market good: Underdog
TE,10,George Kittle,SF,LA,8.44,11.18,21,0.402,1,2026-09-11 00:35,market good: Bovada+Underdog
TE,11,Harold Fannin Jr.,CLE,JAC,8.25,9.4,20,0.412,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,12,Mark Andrews,BAL,IND,8.17,6.29,14,0.584,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,13,Dallas Goedert,PHI,WAS,7.96,10.78,19,0.419,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,14,Dalton Kincaid,BUF,HOU,7.88,9.59,16,0.492,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,15,Brenton Strange,JAC,CLE,7.59,7.45,15,0.506,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,16,Hunter Henry,NE,SEA,7.51,8.12,15,0.501,1,2026-09-10 00:20,market good: Bovada+Underdog
TE,17,Isaiah Likely,NYG,DAL,7.48,4.38,16,0.468,1,2026-09-14 00:20,market good: Bovada+Underdog
TE,18,Tyler Warren,IND,BAL,7.37,8.85,17,0.434,1,2026-09-13 17:00,market fair: Bovada+Underdog
TE,19,T.J. Hockenson,MIN,GB,6.64,5.82,13,0.511,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,20,Jake Ferguson,DAL,NYG,6.54,8.65,14,0.467,1,2026-09-14 00:20,market good: Bovada+Underdog
TE,21,Cade Otton,TB,CIN,6.3,6.18,13,0.485,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,22,Pat Freiermuth,PIT,ATL,6.1,5.96,12,0.508,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,23,AJ Barner,SEA,NE,6.04,6.86,12,0.503,1,2026-09-10 00:20,market good: Bovada+Underdog
TE,24,Ja'Tavion Sanders,CAR,CHI,5.81,3.59,10,0.581,4,2026-09-13 17:00,market td-estimate: Bovada
TE,25,Chig Okonkwo,WAS,PHI,5.76,5.65,13,0.443,1,2026-09-13 20:25,market good: Bovada+Underdog
DEF,1,Seattle Seahawks,SEA,NE,6.84,0.0,19,0.36,1,2026-09-10 00:20,80% salary prior; zero/low FPPG
DEF,2,Houston Texans,HOU,BUF,6.48,0.0,18,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,3,Jacksonville Jaguars,JAC,CLE,6.12,0.0,17,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,4,Baltimore Ravens,BAL,IND,5.76,0.0,16,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,5,Denver Broncos,DEN,KC,5.76,0.0,16,0.36,1,2026-09-15 00:15,80% salary prior; zero/low FPPG
DEF,6,Los Angeles Rams,LA,SF,5.76,0.0,16,0.36,1,2026-09-11 00:35,80% salary prior; zero/low FPPG
DEF,7,Minnesota Vikings,MIN,GB,5.76,0.0,16,0.36,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,8,Atlanta Falcons,ATL,PIT,5.4,0.0,15,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,9,Cleveland Browns,CLE,JAC,5.4,0.0,15,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,10,Los Angeles Chargers,LAC,ARI,5.4,0.0,15,0.36,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,11,New England Patriots,NE,SEA,5.4,0.0,15,0.36,1,2026-09-10 00:20,80% salary prior; zero/low FPPG
DEF,12,Pittsburgh Steelers,PIT,ATL,5.4,0.0,15,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,13,New Orleans Saints,NO,DET,5.04,0.0,14,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,14,Philadelphia Eagles,PHI,WAS,5.04,0.0,14,0.36,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,15,Chicago Bears,CHI,CAR,4.68,0.0,13,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,16,Detroit Lions,DET,NO,4.68,0.0,13,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,17,Tennessee Titans,TEN,NYJ,4.68,0.0,13,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,18,Buffalo Bills,BUF,HOU,4.32,0.0,12,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,19,Dallas Cowboys,DAL,NYG,4.32,0.0,12,0.36,1,2026-09-14 00:20,80% salary prior; zero/low FPPG
DEF,20,Green Bay Packers,GB,MIN,4.32,0.0,12,0.36,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,21,Kansas City Chiefs,KC,DEN,4.32,0.0,12,0.36,1,2026-09-15 00:15,80% salary prior; zero/low FPPG
DEF,22,Cincinnati Bengals,CIN,TB,3.96,0.0,11,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,23,Las Vegas Raiders,LV,MIA,3.96,0.0,11,0.36,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,24,Miami Dolphins,MIA,LV,3.96,0.0,11,0.36,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,25,New York Giants,NYG,DAL,3.96,0.0,11,0.36,1,2026-09-14 00:20,80% salary prior; zero/low FPPG
