Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Josh Allen,BUF,DET,21.91,38.24,40,0.548,starter,QB slot 9,1,2026-09-18 00:15,Yahoo salary-position-depth regression (trained through 2025)
QB,2,Caleb Williams,CHI,MIN,21.91,22.99,40,0.548,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,3,Trevor Lawrence,JAC,DEN,21.28,26.1,38,0.56,starter,QB slot 9,1,2026-09-20 20:05,Yahoo salary-position-depth regression (trained through 2025)
QB,4,Lamar Jackson,BAL,NO,21.28,20.38,38,0.56,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,5,Jaxson Dart,NYG,LA,20.91,26.6,37,0.565,starter,QB slot 9,1,2026-09-22 00:15,Yahoo salary-position-depth regression (trained through 2025)
QB,6,Patrick Mahomes,KC,IND,20.91,22.66,37,0.565,starter,QB slot 9,1,2026-09-21 00:20,Yahoo salary-position-depth regression (trained through 2025)
QB,7,Jalen Hurts,PHI,TEN,20.91,21.44,37,0.565,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,8,Joe Burrow,CIN,HOU,20.51,15.67,36,0.57,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,9,Brock Purdy,SF,MIA,20.08,22.1,35,0.574,starter,QB slot 9,1,2026-09-20 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,10,Bo Nix,DEN,JAC,20.08,6.44,35,0.574,starter,QB slot 9,1,2026-09-20 20:05,Yahoo salary-position-depth regression (trained through 2025)
QB,11,Bryce Young,CAR,ATL,19.62,28.26,34,0.577,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,12,Tyler Shough,NO,BAL,19.62,23.79,34,0.577,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,13,Jordan Love,GB,NYJ,19.12,17.14,33,0.58,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,14,Jared Goff,DET,BUF,18.59,23.11,32,0.581,starter,QB slot 9,1,2026-09-18 00:15,Yahoo salary-position-depth regression (trained through 2025)
QB,15,Jayden Daniels,WAS,DAL,18.59,17.66,32,0.581,starter,QB slot 9,1,2026-09-20 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,16,Dak Prescott,DAL,WAS,18.59,15.4,32,0.581,starter,QB slot 9,1,2026-09-20 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,17,C.J. Stroud,HOU,CIN,18.03,16.74,31,0.582,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,18,Matthew Stafford,LA,NYG,18.03,5.1,31,0.582,starter,QB slot 9,1,2026-09-22 00:15,Yahoo salary-position-depth regression (trained through 2025)
QB,19,Jacoby Brissett,ARI,SEA,17.43,16.48,30,0.581,starter,QB slot 9,1,2026-09-20 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,20,Drake Maye,NE,PIT,17.43,10.92,30,0.581,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,21,Justin Herbert,LAC,LV,16.79,14.26,29,0.579,starter,QB slot 9,1,2026-09-20 20:05,Yahoo salary-position-depth regression (trained through 2025)
QB,22,Baker Mayfield,TB,CLE,16.12,12.41,28,0.576,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
QB,23,Malik Willis,MIA,SF,15.41,17.7,27,0.571,starter,QB slot 9,1,2026-09-20 20:25,Yahoo salary-position-depth regression (trained through 2025)
QB,24,Daniel Jones,IND,KC,13.88,10.04,25,0.555,starter,QB slot 9,1,2026-09-21 00:20,Yahoo salary-position-depth regression (trained through 2025)
QB,25,Aaron Rodgers,PIT,NE,13.88,7.76,25,0.555,starter,QB slot 9,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,1,Jahmyr Gibbs,DET,BUF,19.16,25.7,40,0.479,starter,RB slot 11,1,2026-09-18 00:15,Yahoo salary-position-depth regression (trained through 2025)
RB,2,Derrick Henry,BAL,NO,19.16,25.5,40,0.479,starter,RB slot 11,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,3,Bijan Robinson,ATL,CAR,18.44,18.45,39,0.473,starter,RB slot 11,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,4,Jonathan Taylor,IND,KC,17.78,23.6,38,0.468,starter,RB slot 11,1,2026-09-21 00:20,Yahoo salary-position-depth regression (trained through 2025)
RB,5,Ashton Jeanty,LV,LAC,17.18,29.7,37,0.464,starter,RB slot 11,1,2026-09-20 20:05,Yahoo salary-position-depth regression (trained through 2025)
RB,6,D'Andre Swift,CHI,MIN,17.18,20.15,37,0.464,starter,RB slot 11,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,7,Chase Brown,CIN,HOU,16.63,13.0,36,0.462,starter,RB slot 11,1,2026-09-20 17:00,Yahoo salary-position-depth regression (trained through 2025)
RB,8,Christian McCaffrey,SF,MIA,16.63,11.3,36,0.462,starter,RB slot 11,1,2026-09-20 20:25,Yahoo salary-position-depth regression (trained through 2025)
RB,9,Javonte Williams,DAL,WAS,16.12,21.7,35,0.461,starter,RB slot 11,1,2026-09-20 20:25,Yahoo salary-position-depth regression (trained through 2025)
