Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Justin Herbert,LAC,ARI,20.95,18.23,35,0.599,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,2,Lamar Jackson,BAL,IND,20.69,17.07,36,0.575,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,3,Jalen Hurts,PHI,WAS,20.58,18.66,36,0.572,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,4,Joe Burrow,CIN,TB,20.44,17.43,38,0.538,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,5,Josh Allen,BUF,HOU,19.8,23.82,39,0.508,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,6,Trevor Lawrence,JAC,CLE,19.38,20.64,37,0.524,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,7,Jaxson Dart,NYG,DAL,19.28,17.61,35,0.551,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,8,Dak Prescott,DAL,NYG,19.02,19.05,36,0.528,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,9,Caleb Williams,CHI,CAR,18.88,19.36,37,0.51,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,10,Brock Purdy,SF,LA,18.53,19.32,27,0.686,starter,QB slot 9,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,11,Jared Goff,DET,NO,18.53,17.94,35,0.529,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,12,Kyler Murray,MIN,GB,18.51,16.16,30,0.617,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,13,Baker Mayfield,TB,CIN,18.27,16.64,33,0.554,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,14,Drake Maye,NE,SEA,18.14,20.4,34,0.534,starter,QB slot 9,1,2026-09-10 00:20,market good: Bovada+Underdog
QB,15,Tyler Shough,NO,DET,18.13,14.91,30,0.604,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,16,Jayden Daniels,WAS,PHI,17.95,16.75,32,0.561,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,17,Matthew Stafford,LA,SF,17.78,21.02,35,0.508,starter,QB slot 9,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,18,Jordan Love,GB,MIN,17.4,16.95,34,0.512,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,19,Patrick Mahomes,KC,DEN,17.09,21.16,33,0.518,starter,QB slot 9,1,2026-09-15 00:15,market good 90% audit: Underdog
QB,20,Bo Nix,DEN,KC,16.55,18.94,32,0.517,starter,QB slot 9,1,2026-09-15 00:15,market good 90% audit: Underdog
QB,21,Daniel Jones,IND,BAL,16.52,18.03,30,0.551,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,22,Sam Darnold,SEA,NE,16.47,14.88,29,0.568,starter,QB slot 9,1,2026-09-10 00:20,market good: Bovada+Underdog
QB,23,Bryce Young,CAR,CHI,16.14,14.76,27,0.598,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,24,C.J. Stroud,HOU,BUF,15.94,14.69,29,0.55,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,25,Malik Willis,MIA,LV,15.31,12.79,24,0.638,starter,QB slot 9,1,2026-09-13 20:25,market good 80% audit: Bovada+Underdog
RB,1,Jahmyr Gibbs,DET,NO,21.93,19.32,40,0.548,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,2,Bijan Robinson,ATL,PIT,19.6,19.49,40,0.49,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,3,Christian McCaffrey,SF,LA,18.45,21.15,39,0.473,starter,RB slot 11,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,4,Travis Etienne Jr.,NO,DET,17.81,14.22,30,0.594,starter,RB slot 11,1,2026-09-13 17:00,market good 65% audit: Bovada+Underdog
RB,5,Jonathan Taylor,IND,BAL,17.33,19.96,37,0.468,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,6,De'Von Achane,MIA,LV,16.51,18.08,36,0.459,starter,RB slot 11,1,2026-09-13 20:25,market good: Bovada+Underdog
