Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
QB,1,Justin Herbert,LAC,ARI,21.0,18.23,35,0.6,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,2,Lamar Jackson,BAL,IND,20.79,17.07,36,0.578,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,3,Joe Burrow,CIN,TB,20.53,17.43,38,0.54,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,4,Jalen Hurts,PHI,WAS,20.16,18.66,36,0.56,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,5,Josh Allen,BUF,HOU,19.01,23.82,39,0.487,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,6,Jaxson Dart,NYG,DAL,18.95,17.61,35,0.541,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,7,Trevor Lawrence,JAC,CLE,18.83,20.64,37,0.509,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,8,Dak Prescott,DAL,NYG,18.82,19.05,36,0.523,starter,QB slot 9,1,2026-09-14 00:20,market good: Bovada+Underdog
QB,9,Jared Goff,DET,NO,18.62,17.94,35,0.532,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,10,Caleb Williams,CHI,CAR,18.44,19.36,37,0.498,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,11,Kyler Murray,MIN,GB,18.37,16.16,30,0.612,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,12,Brock Purdy,SF,LA,18.05,19.32,27,0.669,starter,QB slot 9,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,13,Jayden Daniels,WAS,PHI,17.97,16.75,32,0.562,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,14,Baker Mayfield,TB,CIN,17.79,16.64,33,0.539,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,15,Matthew Stafford,LA,SF,17.61,21.02,35,0.503,starter,QB slot 9,1,2026-09-11 00:35,market good: Bovada+Underdog
QB,16,Tyler Shough,NO,DET,17.59,14.91,30,0.586,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,17,Drake Maye,NE,SEA,17.53,20.4,34,0.516,starter,QB slot 9,1,2026-09-10 00:20,market good: Bovada+Underdog
QB,18,Patrick Mahomes,KC,DEN,17.06,21.16,33,0.517,starter,QB slot 9,1,2026-09-15 00:15,market good 90% audit: Underdog
QB,19,Jordan Love,GB,MIN,17.02,16.95,34,0.501,starter,QB slot 9,1,2026-09-13 20:25,market good: Bovada+Underdog
QB,20,Bo Nix,DEN,KC,16.34,18.94,32,0.511,starter,QB slot 9,1,2026-09-15 00:15,market good 90% audit: Underdog
QB,21,Daniel Jones,IND,BAL,16.28,18.03,30,0.543,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,22,Bryce Young,CAR,CHI,16.16,14.76,27,0.599,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,23,Sam Darnold,SEA,NE,15.98,14.88,29,0.551,starter,QB slot 9,1,2026-09-10 00:20,market good: Bovada+Underdog
QB,24,C.J. Stroud,HOU,BUF,15.49,14.69,29,0.534,starter,QB slot 9,1,2026-09-13 17:00,market good: Bovada+Underdog
QB,25,Malik Willis,MIA,LV,15.23,12.79,24,0.635,starter,QB slot 9,1,2026-09-13 20:25,market good 80% audit: Bovada+Underdog
RB,1,Jahmyr Gibbs,DET,NO,21.67,19.32,40,0.542,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,2,Bijan Robinson,ATL,PIT,19.29,19.49,40,0.482,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,3,Christian McCaffrey,SF,LA,18.24,21.15,39,0.468,starter,RB slot 11,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,4,Jonathan Taylor,IND,BAL,17.12,19.96,37,0.463,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,5,De'Von Achane,MIA,LV,16.5,18.08,36,0.458,starter,RB slot 11,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,6,Saquon Barkley,PHI,WAS,16.0,13.44,34,0.471,starter,RB slot 11,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,7,Javonte Williams,DAL,NYG,15.43,14.08,29,0.532,starter,RB slot 11,1,2026-09-14 00:20,market good: Bovada+Underdog
RB,8,Derrick Henry,BAL,IND,15.32,16.0,38,0.403,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,9,Chase Brown,CIN,TB,15.17,14.59,37,0.41,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,10,Omarion Hampton,LAC,ARI,15.1,11.96,29,0.521,starter,RB slot 11,1,2026-09-13 20:25,market good: Bovada+Underdog
RB,11,D'Andre Swift,CHI,CAR,14.64,13.08,28,0.523,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,12,James Cook III,BUF,HOU,14.34,16.05,31,0.463,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,13,Breece Hall,NYJ,TEN,14.03,11.85,27,0.52,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,14,Rhamondre Stevenson,NE,SEA,13.52,11.62,26,0.52,starter,RB slot 11,1,2026-09-10 00:20,market good: Bovada+Underdog
RB,15,Kenneth Walker III,KC,DEN,13.44,12.33,35,0.384,starter,RB slot 11,1,2026-09-15 00:15,market good 90% audit: Underdog
RB,16,Travis Etienne Jr.,NO,DET,12.9,14.22,30,0.43,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,17,Kyren Williams,LA,SF,12.31,14.93,36,0.342,starter,RB slot 11,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,18,Bucky Irving,TB,CIN,12.12,12.35,25,0.485,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,19,Cam Skattebo,NYG,DAL,11.53,14.46,31,0.372,starter,RB slot 11,1,2026-09-14 00:20,market good: Bovada+Underdog
RB,20,Jaylen Warren,PIT,ATL,11.36,11.9,27,0.421,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,21,David Montgomery,HOU,BUF,11.27,9.11,20,0.563,starter,RB slot 11,1,2026-09-13 17:00,market good 80% audit: Bovada+Underdog
RB,22,Quinshon Judkins,CLE,JAC,11.04,11.2,24,0.46,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,23,Rico Dowdle,PIT,ATL,10.68,11.04,21,0.509,rotation,RB slot 11,2,2026-09-13 17:00,market good: Bovada+Underdog
RB,24,Tony Pollard,TEN,NYJ,10.39,9.96,22,0.472,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,25,Jadarian Price,SEA,NE,9.96,0.0,22,0.453,starter,RB slot 11,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,1,Ja'Marr Chase,CIN,TB,17.41,15.69,39,0.446,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,2,Puka Nacua,LA,SF,16.5,19.79,38,0.434,starter,WR slot 1,1,2026-09-11 00:35,market good: Bovada+Underdog
WR,3,Jaxon Smith-Njigba,SEA,NE,15.57,17.04,35,0.445,starter,WR slot 1,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,4,Amon-Ra St. Brown,DET,NO,15.53,15.62,38,0.409,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,5,CeeDee Lamb,DAL,NYG,14.6,11.67,29,0.503,starter,WR slot 1,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,6,Chris Olave,NO,DET,14.36,13.69,34,0.422,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,7,Justin Jefferson,MIN,GB,13.4,9.38,28,0.479,starter,WR slot 1,1,2026-09-13 20:25,market good 80% audit: Bovada+Underdog
WR,8,George Pickens,DAL,NYG,12.81,14.44,27,0.474,starter,WR slot 2,2,2026-09-14 00:20,market good: Bovada+Underdog
WR,9,Nico Collins,HOU,BUF,12.73,12.14,27,0.471,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,10,DeVonta Smith,PHI,WAS,12.69,9.68,27,0.47,starter,WR slot 1,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,11,Tee Higgins,CIN,TB,12.4,12.14,33,0.376,starter,WR slot 2,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,12,Rashee Rice,KC,DEN,12.37,15.45,29,0.426,starter,WR slot 1,1,2026-09-15 00:15,market good 90% audit: Underdog
WR,13,Zay Flowers,BAL,IND,12.28,11.78,33,0.372,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,14,Drake London,ATL,PIT,12.01,13.99,32,0.375,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,15,Malik Nabers,NYG,DAL,11.9,12.02,26,0.458,starter,WR slot 1,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,16,A.J. Brown,NE,SEA,11.87,11.58,26,0.457,starter,WR slot 1,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,17,Garrett Wilson,NYJ,TEN,11.51,11.64,25,0.46,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,18,Jameson Williams,DET,NO,11.47,11.02,27,0.425,starter,WR slot 2,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,19,Tetairoa McMillan,CAR,CHI,11.32,10.39,25,0.453,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,20,Ladd McConkey,LAC,ARI,11.16,8.98,24,0.465,starter,WR slot 1,1,2026-09-13 20:25,market good: Bovada+Underdog
