Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
TE,19,Isaiah Likely,NYG,DAL,7.1,4.38,16,0.444,starter,TE slot 10,1,2026-09-14 00:20,market good 65% audit: Bovada+Underdog
TE,20,T.J. Hockenson,MIN,GB,7.09,5.82,13,0.545,starter,TE slot 10,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,21,Cade Otton,TB,CIN,6.97,6.18,13,0.536,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,22,Greg Dulcich,MIA,LV,6.49,5.53,13,0.499,starter,TE slot 10,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,23,Chig Okonkwo,WAS,PHI,6.45,5.65,13,0.496,starter,TE slot 10,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,24,Pat Freiermuth,PIT,ATL,6.31,5.96,12,0.526,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,25,Mike Gesicki,CIN,TB,5.88,4.72,10,0.588,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
DEF,1,Seattle Seahawks,SEA,NE,12.19,13.0,19,0.642,starter,,1,2026-09-10 00:20,70% FPPG + 30% salary prior
DEF,2,Houston Texans,HOU,BUF,7.81,0.0,18,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,3,Jacksonville Jaguars,JAC,CLE,7.37,0.0,17,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,4,Baltimore Ravens,BAL,IND,6.94,0.0,16,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,5,Denver Broncos,DEN,KC,6.94,0.0,16,0.434,starter,,1,2026-09-15 00:15,80% salary prior; zero/low FPPG
DEF,6,Los Angeles Rams,LA,SF,6.94,0.0,16,0.434,starter,,1,2026-09-11 00:35,80% salary prior; zero/low FPPG
DEF,7,Minnesota Vikings,MIN,GB,6.94,0.0,16,0.434,starter,,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,8,New England Patriots,NE,SEA,6.64,6.0,15,0.443,starter,,1,2026-09-10 00:20,70% FPPG + 30% salary prior
DEF,9,Atlanta Falcons,ATL,PIT,6.51,0.0,15,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,10,Cleveland Browns,CLE,JAC,6.51,0.0,15,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,11,Los Angeles Chargers,LAC,ARI,6.51,0.0,15,0.434,starter,,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,12,Pittsburgh Steelers,PIT,ATL,6.51,0.0,15,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,13,New Orleans Saints,NO,DET,6.07,0.0,14,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,14,Philadelphia Eagles,PHI,WAS,6.07,0.0,14,0.434,starter,,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,15,Chicago Bears,CHI,CAR,5.64,0.0,13,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,16,Detroit Lions,DET,NO,5.64,0.0,13,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,17,Tennessee Titans,TEN,NYJ,5.64,0.0,13,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,18,Buffalo Bills,BUF,HOU,5.2,0.0,12,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,19,Dallas Cowboys,DAL,NYG,5.2,0.0,12,0.434,starter,,1,2026-09-14 00:20,80% salary prior; zero/low FPPG
DEF,20,Green Bay Packers,GB,MIN,5.2,0.0,12,0.434,starter,,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,21,Kansas City Chiefs,KC,DEN,5.2,0.0,12,0.434,starter,,1,2026-09-15 00:15,80% salary prior; zero/low FPPG
DEF,22,Cincinnati Bengals,CIN,TB,4.77,0.0,11,0.434,starter,,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,23,Las Vegas Raiders,LV,MIA,4.77,0.0,11,0.434,starter,,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,24,Miami Dolphins,MIA,LV,4.77,0.0,11,0.434,starter,,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,25,New York Giants,NYG,DAL,4.77,0.0,11,0.434,starter,,1,2026-09-14 00:20,80% salary prior; zero/low FPPG
