Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
RB,14,D'Andre Swift,CHI,CAR,14.13,13.08,28,0.505,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,15,Breece Hall,NYJ,TEN,13.89,11.85,27,0.514,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,16,Kenneth Walker III,KC,DEN,13.44,12.33,35,0.384,starter,RB slot 11,1,2026-09-15 00:15,market good 90% audit: Underdog
RB,17,Kyren Williams,LA,SF,12.3,14.93,36,0.342,starter,RB slot 11,1,2026-09-11 00:35,market good: Bovada+Underdog
RB,18,Cam Skattebo,NYG,DAL,11.8,14.46,31,0.381,starter,RB slot 11,1,2026-09-14 00:20,market good: Bovada+Underdog
RB,19,Jaylen Warren,PIT,ATL,11.38,11.9,27,0.421,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,20,David Montgomery,HOU,BUF,11.27,9.11,20,0.564,starter,RB slot 11,1,2026-09-13 17:00,market good 80% audit: Bovada+Underdog
RB,21,Quinshon Judkins,CLE,JAC,11.09,11.2,24,0.462,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,22,Bucky Irving,TB,CIN,10.99,12.35,25,0.44,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,23,Tony Pollard,TEN,NYJ,10.67,9.96,22,0.485,starter,RB slot 11,1,2026-09-13 17:00,market good: Bovada+Underdog
RB,24,Rico Dowdle,PIT,ATL,10.58,11.04,21,0.504,rotation,RB slot 11,2,2026-09-13 17:00,market good: Bovada+Underdog
RB,25,Jadarian Price,SEA,NE,9.76,0.0,22,0.444,starter,RB slot 11,1,2026-09-10 00:20,market good 80% audit: Bovada+Underdog
WR,1,Ja'Marr Chase,CIN,TB,17.28,15.69,39,0.443,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,2,Puka Nacua,LA,SF,15.63,19.79,38,0.411,starter,WR slot 1,1,2026-09-11 00:35,market good: Bovada+Underdog
WR,3,Amon-Ra St. Brown,DET,NO,15.49,15.62,38,0.408,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,4,Jaxon Smith-Njigba,SEA,NE,15.14,17.04,35,0.433,starter,WR slot 1,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,5,CeeDee Lamb,DAL,NYG,14.73,11.67,29,0.508,starter,WR slot 1,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,6,Chris Olave,NO,DET,14.46,13.69,34,0.425,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,7,Tee Higgins,CIN,TB,13.07,12.14,33,0.396,starter,WR slot 2,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,8,Justin Jefferson,MIN,GB,13.01,9.38,28,0.465,starter,WR slot 1,1,2026-09-13 20:25,market good 80% audit: Bovada+Underdog
WR,9,George Pickens,DAL,NYG,12.72,14.44,27,0.471,starter,WR slot 2,2,2026-09-14 00:20,market good: Bovada+Underdog
WR,10,Nico Collins,HOU,BUF,12.68,12.14,27,0.47,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,11,DeVonta Smith,PHI,WAS,12.63,9.68,27,0.468,starter,WR slot 1,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,12,Rashee Rice,KC,DEN,12.38,15.45,29,0.427,starter,WR slot 1,1,2026-09-15 00:15,market good 90% audit: Underdog
WR,13,Zay Flowers,BAL,IND,12.15,11.78,33,0.368,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,14,Malik Nabers,NYG,DAL,12.04,12.02,26,0.463,starter,WR slot 1,1,2026-09-14 00:20,market good: Bovada+Underdog
WR,15,Drake London,ATL,PIT,12.01,13.99,32,0.375,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
