slot,player,pos,team,opponent,kickoff_utc,mean,floor,ceiling,salary,fppg,depth,depth_source,source,injury,review
QB,Dak Prescott,QB,DAL,NYG,2026-09-14 00:20,20.51,13.5,33.34,36.0,19.05,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
RB,James Cook III,RB,BUF,HOU,2026-09-13 17:00,14.5,7.94,26.37,31.0,16.05,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
RB,Breece Hall,RB,NYJ,TEN,2026-09-13 17:00,13.26,7.26,24.11,27.0,11.85,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,Full Participation in Practice
WR,Tee Higgins,WR,CIN,TB,2026-09-13 17:00,12.44,5.97,24.06,33.0,12.14,2,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,Full Participation in Practice
WR,Jameson Williams,WR,DET,NO,2026-09-13 17:00,10.78,5.17,20.85,27.0,11.02,2,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
TE,Harold Fannin Jr,TE,CLE,JAC,2026-09-13 17:00,10.19,4.57,20.23,20.0,9.4,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
K,Brandon Aubrey,K,DAL,NYG,,11.75,7.26,19.94,,,1,nflverse PK depth,nflverse rolling kicker games (n=8),,ok
FLEX,Jaylen Warren,RB,PIT,ATL,2026-09-13 17:00,13.26,7.26,24.11,27.0,11.9,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
BENCH,Sam Darnold,QB,SEA,NE,2026-09-10 00:20,16.79,11.05,27.28,29.0,0.52,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
BENCH,Jaylen Waddle,WR,DEN,KC,2026-09-15 00:15,10.63,5.71,19.51,21.0,10.13,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
BENCH,Quentin Johnston,WR,LAC,ARI,2026-09-13 20:25,9.08,4.36,17.57,20.0,10.66,2,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
BENCH,Brenton Strange,TE,JAC,CLE,2026-09-13 17:00,7.78,3.49,15.45,15.0,7.45,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
BENCH,Rashid Shaheed,WR,SEA,NE,2026-09-10 00:20,6.25,3.36,11.48,14.0,0.9,1,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,ok
BENCH,Isaac TeSlaa,WR,DET,NO,2026-09-13 17:00,2.11,0.82,4.39,11.0,4.85,3,nflverse latest depth,Yahoo salary-position-depth regression (trained through 2025),,depth 3
