slot,player,pos,team,opponent,kickoff_utc,mean,floor,ceiling,salary,fppg,depth,depth_source,source,market_quality,market_raw,market_prior,market_delta,market_delta_pct,market_base_weight,market_weight,market_audit_flag,market_audit_reason,market_feed_count,injury,review
QB,Dak Prescott,QB,DAL,NYG,2026-09-14 00:20,19.43,12.79,31.57,36.0,19.05,1,nflverse latest depth,market good: Bovada+Underdog,good,19.43,19.07,0.36,0.0189,1.0,1.0,pass,within calibration gates,2.0,,ok
RB,James Cook III,RB,BUF,HOU,2026-09-13 17:00,14.89,8.16,27.08,31.0,16.05,1,nflverse latest depth,market good: Bovada+Underdog,good,14.89,15.55,-0.66,-0.0424,1.0,1.0,pass,within calibration gates,2.0,,ok
RB,Breece Hall,RB,NYJ,TEN,2026-09-13 17:00,14.47,7.93,26.31,27.0,11.85,1,nflverse latest depth,market good: Bovada+Underdog,good,14.47,11.95,2.52,0.2109,1.0,1.0,pass,within calibration gates,2.0,,Full Participation in Practice
WR,Tee Higgins,WR,CIN,TB,2026-09-13 17:00,12.83,6.15,24.81,33.0,12.14,2,nflverse latest depth,market good: Bovada+Underdog,good,12.83,12.96,-0.13,-0.0101,1.0,1.0,pass,within calibration gates,2.0,,Full Participation in Practice
WR,Jameson Williams,WR,DET,NO,2026-09-13 17:00,11.6,5.56,22.43,27.0,11.02,2,nflverse latest depth,market good: Bovada+Underdog,good,11.6,11.25,0.35,0.0309,1.0,1.0,pass,within calibration gates,2.0,,ok
TE,Brenton Strange,TE,JAC,CLE,2026-09-13 17:00,8.19,3.67,16.25,15.0,7.45,1,nflverse latest depth,market good: Bovada+Underdog,good,8.19,7.12,1.07,0.1501,1.0,1.0,pass,within calibration gates,2.0,,ok
K,Brandon Aubrey,K,DAL,NYG,,11.75,7.26,19.94,,,1,nflverse PK depth,nflverse rolling kicker games (n=8),,,,,,,,,,,,ok
FLEX,Jaylen Warren,RB,PIT,ATL,2026-09-13 17:00,11.55,6.33,21.0,27.0,11.9,1,nflverse latest depth,market good: Bovada+Underdog,good,11.55,11.98,-0.43,-0.0361,1.0,1.0,pass,within calibration gates,2.0,,ok
BENCH,Jaylen Waddle,WR,DEN,KC,2026-09-15 00:15,10.85,5.83,19.92,21.0,10.13,1,nflverse latest depth,market good: Bovada+Underdog,good,10.85,9.7,1.15,0.1184,1.0,1.0,pass,within calibration gates,2.0,,ok
BENCH,Quentin Johnston,WR,LAC,ARI,2026-09-13 20:25,9.78,4.69,18.91,20.0,10.66,2,nflverse latest depth,market good: Bovada+Underdog,good,9.78,9.91,-0.13,-0.0135,1.0,1.0,pass,within calibration gates,2.0,,ok
BENCH,Harold Fannin Jr,TE,CLE,JAC,2026-09-13 17:00,8.08,3.62,16.04,20.0,9.4,1,nflverse latest depth,market good: Bovada+Underdog,good,8.08,9.54,-1.46,-0.153,1.0,1.0,pass,within calibration gates,2.0,,ok
BENCH,Sam Darnold,QB,SEA,NE,2026-09-10 00:20,4.59,3.02,7.46,29.0,0.52,1,nflverse latest depth,70% FPPG + 30% salary prior,,,,,,,,,,,,ok
BENCH,Isaac TeSlaa,WR,DET,NO,2026-09-13 17:00,4.51,1.75,9.37,11.0,4.85,3,nflverse latest depth,market good: Bovada+Underdog,good,4.51,4.46,0.05,0.0117,1.0,1.0,pass,within calibration gates,2.0,,depth 3
BENCH,Rashid Shaheed,WR,SEA,NE,2026-09-10 00:20,2.16,1.16,3.96,14.0,0.9,1,nflverse latest depth,70% FPPG + 30% salary prior,,,,,,,,,,,,ok
